1.2,0.39944,0.58327,0.72263,0.98535,1.2427,1.0356,0.50719,0.80149,0.94911,1.1413,1.1218,0.73192,0.74992,1.1596,1.2359,0.72053,0.54526,1.034,1.1455,1.0208,0.71352,0.86839,1.2124,1.197,0.60756,0.59439,0.96648,1.1234,1.1602,0.81146,0.60402,1.0932,0.92328
1.0858,0.36143,0.65562,0.69749,1.029,1.2554,0.97402,0.47668,0.85791,0.94543,1.1354,1.0917,0.71173,0.80806,1.1678,1.1997,0.6814,0.60115,1.0342,1.1646,1.0127,0.70077,0.91126,1.2307,1.1422,0.56593,0.66882,0.95674,1.1371,1.1624,0.78272,0.62666,1.1145,0.87886
0.98248,0.32704,0.71073,0.67524,1.0685,1.2713,0.91388,0.45206,0.90311,0.94983,1.1291,1.051,0.69168,0.86633,1.174,1.154,0.64246,0.66734,1.0301,1.1698,1.0022,0.69698,0.95788,1.2489,1.0841,0.5275,0.74198,0.94657,1.1416,1.1562,0.75665,0.66555,1.1301,0.83767
0.88898,0.29592,0.75004,0.66386,1.104,1.2876,0.8565,0.4356,0.93726,0.96495,1.1247,1.0043,0.67175,0.92114,1.1802,1.1026,0.60418,0.73685,1.0237,1.1622,0.98598,0.70106,1.0037,1.2666,1.0252,0.49296,0.80781,0.93876,1.1402,1.1382,0.73204,0.71725,1.1407,0.79912
0.80438,0.26776,0.77563,0.66846,1.1356,1.2986,0.80263,0.43044,0.96109,0.9914,1.1234,0.95641,0.65264,0.97072,1.1889,1.0488,0.56776,0.80375,1.0176,1.1453,0.96137,0.71122,1.0452,1.2835,0.9667,0.46345,0.86301,0.93647,1.1363,1.1071,0.70798,0.77595,1.1473,0.76208
0.72784,0.24228,0.78963,0.6908,1.163,1.2982,0.75249,0.44063,0.97561,1.0268,1.1256,0.91074,0.63594,1.0144,1.2022,0.99475,0.53489,0.86411,1.0147,1.123,0.92788,0.72549,1.0807,1.2985,0.90944,0.44065,0.90646,0.94281,1.1326,1.0655,0.68403,0.83598,1.1515,0.72522
0.65857,0.21922,0.79396,0.72858,1.1858,1.2828,0.70574,0.47007,0.98201,1.0655,1.1307,0.86939,0.62425,1.0522,1.2204,0.94224,0.50748,0.91584,1.0181,1.0991,0.8877,0.74221,1.1102,1.3098,0.85382,0.42696,0.93839,0.96,1.1311,1.0181,0.66038,0.89332,1.1554,0.68768
0.5959,0.24646,0.79033,0.77708,1.2037,1.252,0.66173,0.51998,0.9817,1.1003,1.1373,0.83327,0.6212,1.0842,1.2412,0.89228,0.48782,0.95803,1.0303,1.0764,0.84475,0.76049,1.1349,1.3137,0.80008,0.42561,0.95973,0.98826,1.1328,0.96958,0.63784,0.94569,1.1616,0.64954
0.53919,0.30776,0.7802,0.83092,1.2165,1.2084,0.61984,0.58642,0.97624,1.1257,1.1431,0.80238,0.63092,1.1107,1.2588,0.84541,0.47873,0.99045,1.0522,1.0568,0.80303,0.78055,1.1562,1.3057,0.74842,0.44032,0.97173,1.0249,1.1378,0.92336,0.61799,0.99209,1.1727,0.61193
0.48788,0.39718,0.76484,0.8854,1.2256,1.1555,0.57982,0.661,0.96745,1.1397,1.145,0.77601,0.65637,1.1318,1.2663,0.80159,0.48354,1.0134,1.0823,1.0412,0.7658,0.8038,1.1755,1.2826,0.699,0.47406,0.97581,1.0641,1.1452,0.88127,0.60332,1.0321,1.1897,0.57663
